I_COMMODITY,I_COMMODITY_SDESC,I_COMMODITY_LDESC
0602400000,"ROSES, GRAFTED OR NOT","ROSES, GRAFTED OR NOT"
0602902000,"ORCHID PLANTS, LIVE","ORCHID PLANTS, LIVE"
0602903010,CHRYSANTHEMUMS WITH SOIL ATTACHED TO ROOTS,CHRYSANTHEMUMS WITH SOIL ATTACHED TO ROOTS
0602903090,"HERBACEOUS PERENNIALS,WTH SOIL ATTACHED,LIVE,NESOI","HERBACEOUS PERENNIALS WITH SOIL ATTACHED TO ROOTS, LIVE, NESOI"
0602904000,HERBACEOUS PERENNIALS WTHOUT SOIL ATTACHED NESOI,"HERBACEOUS PERENNIALS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS, NESOI"
0602905000,MUSHROOM SPAWN,MUSHROOM SPAWN
0602906010,TREES AND SHRUBS WITH SOIL ATTACHED TO ROOTS NESOI,"TREES AND SHRUBS, LIVE, WITH SOIL ATTACHED TO ROOTS, NESOI"
0602906090,"PLANTS, LIVE, WITH SOIL ATTACHED TO ROOTS, NESOI","PLANTS, LIVE, WITH SOIL ATTACHED TO ROOTS, NESOI"
0602909010,"TREES AND SHRUBS LIVE WITHOUT SOIL ATTACHED, NESOI","TREES AND SHRUBS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS, NESOI"
0602909090,"PLANTS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS NESOI","PLANTS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS, NESOI"
0603110030,"SPRAY ROSES, FRESH","SPRAY ROSES,  FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603110060,"ROSES, FRESH, NESOI","ROSES, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, NESOI"
0603123000,"MINIATURE (SPRAY) CARNATIONS, FRESH","MINIATURE (SPRAY) CARNATIONS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603127000,"STANDARD CARNATIONS, FRESH","STANDARD CARNATIONS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603130050,"DENDROBIUM ORCHIDS, FRESH","DENDROBIUM ORCHIDS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603130060,"ORCHIDS EXCEPT DENDROBIUM, FRESH","ORCHIDS EXCEPT DENDROBIUM, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603140010,POM POM CHRYSANTHEMUMS FRESH,"POM POM CHRYSANTHEMUMS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603140020,"CHRYSANTHEMUMS EXCEPT POM POM, FRESH","CHRYSANTHEMUMS EXCEPT POM POM, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603150000,"LILIES, FRESH","LILIES, FRESH, OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
0603190105,"ANTHURIUMS, FRESH","ANTHURIMS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES"
1605104010,"SNOW CRABMEAT, NESOI, PREPARED, FROZEN","SNOW CRABMEAT, NESOI, PREPARED, FROZEN"
1605104025,"CALLINECTES CRABMEAT FROZEN, INCL. BLUE CRAB","CALLINECTES SPP, INCLUDING BLUE CRABS (C. SAPIDUS),  FROZEN"
1605104030,"SWIMMING CRABMEAT(PORTUNIDAE), FROZEN, NESOI","SWIMMING CRABMEAT(PORTUNIDAE), FROZEN, NESOI"
1605104035,"CRABMEAT, PREPARED/PRESERVED, FROZEN, NESOI","OTHER CRABMEAT, PREPARED OR PRESERVED, FROZEN, NESOI"
1605104040,"CRABMEAT, PREPARED OR PRESERVED, NESOI","CRABMEAT, PREPARED OR PRESERVED, NESOI"
